Fertilizer,Temperature,Humidity,Moisture,Soil Type,Nitrogen,Potassium,Phosphorus
17-17-17,25,55,53,Loamy/Sandy,170,170,170
17-17-17,31,55,55,Loamy/Sandy,170,170,170
17-17-17,26,59,54,Loamy/Sandy,170,170,170
17-17-17,28,65,40,Loamy/Sandy,170,170,170
17-17-17,24,51,50,Loamy/Sandy,170,170,170
17-17-17,30,58,53,Loamy/Sandy,170,170,170
17-17-17,25,66,53,Loamy/Sandy,170,170,170
17-17-17,33,55,50,Loamy/Sandy,170,170,170
17-17-17,32,65,52,Loamy/Sandy,170,170,170
17-17-17,27,64,47,Loamy/Sandy,170,170,170
17-17-17,31,53,47,Loamy/Sandy,170,170,170
17-17-17,28,50,49,Loamy/Sandy,170,170,170
17-17-17,29,67,55,Loamy/Sandy,170,170,170
17-17-17,27,68,51,Loamy/Sandy,170,170,170
17-17-17,30,50,45,Loamy/Sandy,170,170,170
17-17-17,23,69,44,Loamy/Sandy,170,170,170
17-17-17,30,55,52,Loamy/Sandy,170,170,170
17-17-17,34,53,43,Loamy/Sandy,170,170,170
17-17-17,24,68,40,Loamy/Sandy,170,170,170
17-17-17,26,70,54,Loamy/Sandy,170,170,170
17-17-17,34,64,49,Loamy/Sandy,170,170,170
17-17-17,32,68,44,Loamy/Sandy,170,170,170
17-17-17,33,66,46,Loamy/Sandy,170,170,170
17-17-17,25,57,45,Loamy/Sandy,170,170,170
17-17-17,23,57,48,Loamy/Sandy,170,170,170
17-17-17,30,70,51,Loamy/Sandy,170,170,170
17-17-17,22,53,49,Loamy/Sandy,170,170,170
17-17-17,32,60,55,Loamy/Sandy,170,170,170
17-17-17,22,55,51,Loamy/Sandy,170,170,170
17-17-17,24,58,50,Loamy/Sandy,170,170,170
17-17-17,25,66,48,Loamy/Sandy,170,170,170
17-17-17,29,68,45,Loamy/Sandy,170,170,170
17-17-17,34,66,43,Loamy/Sandy,170,170,170
17-17-17,25,55,45,Loamy/Sandy,170,170,170
17-17-17,27,68,52,Loamy/Sandy,170,170,170
17-17-17,32,63,46,Loamy/Sandy,170,170,170
17-17-17,31,70,50,Loamy/Sandy,170,170,170
17-17-17,28,66,45,Loamy/Sandy,170,170,170
17-17-17,32,58,55,Loamy/Sandy,170,170,170
17-17-17,22,67,53,Loamy/Sandy,170,170,170
17-17-17,28,69,42,Loamy/Sandy,170,170,170
17-17-17,24,57,48,Loamy/Sandy,170,170,170
17-17-17,33,62,50,Loamy/Sandy,170,170,170
17-17-17,33,50,53,Loamy/Sandy,170,170,170
17-17-17,33,56,55,Loamy/Sandy,170,170,170
17-17-17,29,56,40,Loamy/Sandy,170,170,170
17-17-17,31,60,46,Loamy/Sandy,170,170,170
17-17-17,28,57,44,Loamy/Sandy,170,170,170
17-17-17,22,61,40,Loamy/Sandy,170,170,170
17-17-17,32,58,49,Loamy/Sandy,170,170,170
17-17-17,24,60,54,Loamy/Sandy,170,170,170
17-17-17,27,57,40,Loamy/Sandy,170,170,170
17-17-17,33,63,43,Loamy/Sandy,170,170,170
17-17-17,29,67,52,Loamy/Sandy,170,170,170
17-17-17,28,53,53,Loamy/Sandy,170,170,170
17-17-17,28,55,42,Loamy/Sandy,170,170,170
17-17-17,23,57,48,Loamy/Sandy,170,170,170
10-26-26,27,54,49,Loamy/Clayey,100,260,260
10-26-26,19,59,36,Loamy/Clayey,100,260,260
10-26-26,21,49,43,Loamy/Clayey,100,260,260
10-26-26,20,47,45,Loamy/Clayey,100,260,260
10-26-26,26,45,40,Loamy/Clayey,100,260,260
10-26-26,24,63,40,Loamy/Clayey,100,260,260
10-26-26,21,55,36,Loamy/Clayey,100,260,260
10-26-26,19,60,40,Loamy/Clayey,100,260,260
10-26-26,25,62,49,Loamy/Clayey,100,260,260
10-26-26,29,62,38,Loamy/Clayey,100,260,260
10-26-26,27,62,47,Loamy/Clayey,100,260,260
10-26-26,19,54,49,Loamy/Clayey,100,260,260
10-26-26,20,57,46,Loamy/Clayey,100,260,260
10-26-26,22,53,47,Loamy/Clayey,100,260,260
10-26-26,21,48,43,Loamy/Clayey,100,260,260
10-26-26,29,49,41,Loamy/Clayey,100,260,260
10-26-26,23,62,42,Loamy/Clayey,100,260,260
10-26-26,28,58,35,Loamy/Clayey,100,260,260
10-26-26,19,50,45,Loamy/Clayey,100,260,260
10-26-26,25,63,44,Loamy/Clayey,100,260,260
10-26-26,19,56,38,Loamy/Clayey,100,260,260
10-26-26,24,51,43,Loamy/Clayey,100,260,260
10-26-26,25,50,46,Loamy/Clayey,100,260,260
10-26-26,19,47,35,Loamy/Clayey,100,260,260
10-26-26,21,55,47,Loamy/Clayey,100,260,260
10-26-26,18,46,38,Loamy/Clayey,100,260,260
10-26-26,22,55,36,Loamy/Clayey,100,260,260
10-26-26,20,56,43,Loamy/Clayey,100,260,260
10-26-26,27,64,44,Loamy/Clayey,100,260,260
10-26-26,24,50,36,Loamy/Clayey,100,260,260
10-26-26,24,48,35,Loamy/Clayey,100,260,260
10-26-26,28,61,41,Loamy/Clayey,100,260,260
10-26-26,21,50,37,Loamy/Clayey,100,260,260
10-26-26,29,61,38,Loamy/Clayey,100,260,260
10-26-26,28,64,49,Loamy/Clayey,100,260,260
10-26-26,25,63,48,Loamy/Clayey,100,260,260
10-26-26,30,59,47,Loamy/Clayey,100,260,260
10-26-26,27,53,43,Loamy/Clayey,100,260,260
10-26-26,22,48,35,Loamy/Clayey,100,260,260
10-26-26,30,47,45,Loamy/Clayey,100,260,260
10-26-26,19,58,45,Loamy/Clayey,100,260,260
10-26-26,25,50,43,Loamy/Clayey,100,260,260
10-26-26,27,57,35,Loamy/Clayey,100,260,260
10-26-26,25,55,35,Loamy/Clayey,100,260,260
10-26-26,26,64,47,Loamy/Clayey,100,260,260
10-26-26,18,64,47,Loamy/Clayey,100,260,260
10-26-26,18,58,47,Loamy/Clayey,100,260,260
10-26-26,27,48,36,Loamy/Clayey,100,260,260
10-26-26,28,54,49,Loamy/Clayey,100,260,260
10-26-26,19,52,48,Loamy/Clayey,100,260,260
10-26-26,24,55,45,Loamy/Clayey,100,260,260
10-26-26,27,48,46,Loamy/Clayey,100,260,260
10-26-26,19,55,40,Loamy/Clayey,100,260,260
10-26-26,23,48,41,Loamy/Clayey,100,260,260
10-26-26,25,63,46,Loamy/Clayey,100,260,260
10-26-26,22,49,36,Loamy/Clayey,100,260,260
10-26-26,23,46,41,Loamy/Clayey,100,260,260
10-26-26,22,52,43,Loamy/Clayey,100,260,260
10-26-26,22,51,37,Loamy/Clayey,100,260,260
10-26-26,18,53,41,Loamy/Clayey,100,260,260
10-26-26,21,61,50,Loamy/Clayey,100,260,260
10-26-26,29,47,44,Loamy/Clayey,100,260,260
10-26-26,19,53,38,Loamy/Clayey,100,260,260
10-26-26,18,57,40,Loamy/Clayey,100,260,260
10-26-26,19,56,40,Loamy/Clayey,100,260,260
10-26-26,27,59,46,Loamy/Clayey,100,260,260
10-26-26,30,52,36,Loamy/Clayey,100,260,260
10-26-26,30,45,41,Loamy/Clayey,100,260,260
10-26-26,26,63,48,Loamy/Clayey,100,260,260
10-26-26,21,52,50,Loamy/Clayey,100,260,260
10-26-26,23,63,42,Loamy/Clayey,100,260,260
10-26-26,27,56,42,Loamy/Clayey,100,260,260
10-26-26,28,46,47,Loamy/Clayey,100,260,260
10-26-26,29,52,37,Loamy/Clayey,100,260,260
10-26-26,18,46,46,Loamy/Clayey,100,260,260
10-26-26,20,62,36,Loamy/Clayey,100,260,260
10-26-26,25,62,38,Loamy/Clayey,100,260,260
10-26-26,24,53,47,Loamy/Clayey,100,260,260
10-26-26,19,55,35,Loamy/Clayey,100,260,260
10-26-26,21,47,35,Loamy/Clayey,100,260,260
10-26-26,19,48,35,Loamy/Clayey,100,260,260
10-26-26,20,61,49,Loamy/Clayey,100,260,260
10-26-26,25,51,36,Loamy/Clayey,100,260,260
10-26-26,20,62,45,Loamy/Clayey,100,260,260
10-26-26,24,55,43,Loamy/Clayey,100,260,260
10-26-26,18,53,44,Loamy/Clayey,100,260,260
10-26-26,21,65,39,Loamy/Clayey,100,260,260
10-26-26,30,49,47,Loamy/Clayey,100,260,260
10-26-26,23,53,42,Loamy/Clayey,100,260,260
10-26-26,24,59,38,Loamy/Clayey,100,260,260
10-26-26,26,56,39,Loamy/Clayey,100,260,260
10-26-26,29,54,39,Loamy/Clayey,100,260,260
10-26-26,20,50,50,Loamy/Clayey,100,260,260
10-26-26,26,52,36,Loamy/Clayey,100,260,260
10-26-26,18,65,40,Loamy/Clayey,100,260,260
10-26-26,20,59,50,Loamy/Clayey,100,260,260
10-26-26,30,64,38,Loamy/Clayey,100,260,260
10-26-26,22,65,47,Loamy/Clayey,100,260,260
10-26-26,21,53,35,Loamy/Clayey,100,260,260
10-26-26,21,65,35,Loamy/Clayey,100,260,260
Ammonium Nitrate,24,57,56,Avoid acidic soils,348,4,8
Ammonium Nitrate,31,51,53,Avoid acidic soils,339,4,4
Ammonium Nitrate,29,53,55,Avoid acidic soils,343,5,2
Ammonium Nitrate,27,56,55,Avoid acidic soils,350,1,10
Ammonium Nitrate,32,55,57,Avoid acidic soils,337,3,0
Ammonium Nitrate,23,70,57,Avoid acidic soils,341,1,9
Ammonium Nitrate,22,75,55,Avoid acidic soils,349,5,5
Ammonium Nitrate,34,55,43,Avoid acidic soils,345,5,10
Ammonium Nitrate,20,61,45,Avoid acidic soils,338,0,10
Ammonium Nitrate,23,60,52,Avoid acidic soils,336,0,6
Ammonium Nitrate,21,52,50,Avoid acidic soils,338,0,10
Ammonium Nitrate,20,67,50,Avoid acidic soils,347,1,9
Ammonium Nitrate,25,68,52,Avoid acidic soils,337,1,10
Ammonium Nitrate,23,59,40,Avoid acidic soils,331,3,0
Ammonium Nitrate,32,56,51,Avoid acidic soils,340,0,3
Ammonium Nitrate,31,73,49,Avoid acidic soils,331,4,5
Ammonium Nitrate,21,59,56,Avoid acidic soils,339,0,6
Ammonium Nitrate,23,56,48,Avoid acidic soils,341,3,10
Ammonium Nitrate,24,56,52,Avoid acidic soils,337,3,8
Ammonium Nitrate,27,58,42,Avoid acidic soils,336,1,4
Ammonium Nitrate,24,75,59,Avoid acidic soils,336,4,3
Ammonium Nitrate,29,61,56,Avoid acidic soils,332,0,9
Ammonium Nitrate,31,57,58,Avoid acidic soils,349,1,1
Ammonium Nitrate,35,63,57,Avoid acidic soils,336,4,5
Ammonium Nitrate,34,72,56,Avoid acidic soils,336,0,10
Ammonium Nitrate,21,74,45,Avoid acidic soils,336,1,0
Ammonium Nitrate,27,59,44,Avoid acidic soils,339,3,3
Ammonium Nitrate,35,52,54,Avoid acidic soils,345,1,3
Ammonium Nitrate,24,63,59,Avoid acidic soils,341,3,5
Ammonium Nitrate,32,55,59,Avoid acidic soils,335,1,10
Ammonium Nitrate,32,51,40,Avoid acidic soils,334,2,2
Ammonium Nitrate,21,56,48,Avoid acidic soils,349,4,2
Ammonium Nitrate,24,51,56,Avoid acidic soils,339,3,2
Ammonium Nitrate,35,64,54,Avoid acidic soils,338,2,1
Ammonium Nitrate,24,64,60,Avoid acidic soils,342,0,2
Ammonium Nitrate,28,67,55,Avoid acidic soils,330,4,10
Ammonium Nitrate,20,73,40,Avoid acidic soils,343,4,2
Ammonium Nitrate,24,62,41,Avoid acidic soils,341,1,5
Ammonium Nitrate,25,55,40,Avoid acidic soils,346,0,2
Ammonium Nitrate,28,59,59,Avoid acidic soils,349,5,8
Ammonium Nitrate,33,69,57,Avoid acidic soils,343,2,3
Ammonium Nitrate,22,55,58,Avoid acidic soils,346,5,1
Ammonium Nitrate,31,65,52,Avoid acidic soils,350,4,2
Ammonium Nitrate,26,63,52,Avoid acidic soils,345,4,9
Ammonium Nitrate,31,56,55,Avoid acidic soils,350,5,2
Ammonium Nitrate,25,55,52,Avoid acidic soils,337,2,4
Ammonium Nitrate,30,54,43,Avoid acidic soils,334,5,7
Ammonium Nitrate,24,67,41,Avoid acidic soils,340,1,2
Ammonium Nitrate,21,56,57,Avoid acidic soils,346,4,9
Ammonium Nitrate,34,51,50,Avoid acidic soils,334,2,7
Ammonium Nitrate,23,51,51,Avoid acidic soils,337,5,9
Ammonium Nitrate,28,51,45,Avoid acidic soils,344,1,1
Ammonium Nitrate,32,65,60,Avoid acidic soils,345,2,10
Ammonium Nitrate,26,58,49,Avoid acidic soils,332,4,1
Ammonium Nitrate,32,74,49,Avoid acidic soils,339,5,9
Ammonium Nitrate,26,61,47,Avoid acidic soils,345,2,5
Ammonium Nitrate,26,71,48,Avoid acidic soils,349,5,3
Ammonium Nitrate,21,72,59,Avoid acidic soils,342,1,10
Ammonium Nitrate,23,73,47,Avoid acidic soils,344,3,8
Ammonium Nitrate,26,55,40,Avoid acidic soils,342,5,8
Ammonium Nitrate,21,71,46,Avoid acidic soils,347,3,2
Ammonium Nitrate,28,64,56,Avoid acidic soils,344,5,5
Ammonium Nitrate,32,74,56,Avoid acidic soils,331,1,7
Ammonium Nitrate,32,68,57,Avoid acidic soils,345,4,9
Ammonium Nitrate,32,68,52,Avoid acidic soils,341,5,10
Ammonium Nitrate,23,73,50,Avoid acidic soils,333,1,8
Ammonium Nitrate,25,59,41,Avoid acidic soils,334,5,1
Ammonium Nitrate,26,71,48,Avoid acidic soils,348,2,4
Ammonium Nitrate,33,54,41,Avoid acidic soils,342,3,10
Ammonium Nitrate,31,75,45,Avoid acidic soils,343,5,0
Ammonium Nitrate,24,66,42,Avoid acidic soils,347,2,8
Ammonium Nitrate,32,68,42,Avoid acidic soils,334,0,0
Ammonium Nitrate,25,57,52,Avoid acidic soils,342,5,10
Ammonium Nitrate,35,53,59,Avoid acidic soils,350,3,3
Ammonium Nitrate,34,74,45,Avoid acidic soils,330,3,7
Ammonium Nitrate,30,54,48,Avoid acidic soils,337,2,2
Ammonium Nitrate,24,57,49,Avoid acidic soils,338,2,2
Ammonium Nitrate,29,54,52,Avoid acidic soils,343,0,3
Ammonium Nitrate,25,73,56,Avoid acidic soils,344,3,7
Ammonium Nitrate,30,71,44,Avoid acidic soils,350,3,10
Ammonium Nitrate,24,68,46,Avoid acidic soils,333,5,7
Ammonium Nitrate,26,64,46,Avoid acidic soils,334,4,3
Ammonium Nitrate,29,52,42,Avoid acidic soils,347,4,1
Ammonium Nitrate,23,73,51,Avoid acidic soils,344,0,7
Ammonium Nitrate,21,66,55,Avoid acidic soils,338,1,2
Ammonium Nitrate,26,60,56,Avoid acidic soils,336,5,6
Ammonium Nitrate,25,66,51,Avoid acidic soils,339,0,4
Ammonium Nitrate,34,61,60,Avoid acidic soils,334,5,3
Ammonium Nitrate,34,69,51,Avoid acidic soils,349,4,10
Ammonium Nitrate,23,71,47,Avoid acidic soils,337,4,3
Ammonium Nitrate,24,55,60,Avoid acidic soils,339,1,10
Ammonium Nitrate,22,57,55,Avoid acidic soils,347,2,2
Ammonium Nitrate,25,63,51,Avoid acidic soils,331,2,5
Ammonium Nitrate,34,71,51,Avoid acidic soils,336,5,6
Ammonium Nitrate,35,75,41,Avoid acidic soils,344,3,2
Ammonium Nitrate,22,73,52,Avoid acidic soils,332,5,5
Ammonium Nitrate,31,72,58,Avoid acidic soils,330,3,3
Ammonium Nitrate,35,50,48,Avoid acidic soils,338,5,4
Ammonium Nitrate,28,53,53,Avoid acidic soils,342,0,5
Ammonium Nitrate,21,51,58,Avoid acidic soils,336,0,10
Ammonium Sulfate,27,48,45,Acidic/Neutral,209,1,1
Ammonium Sulfate,19,60,44,Acidic/Neutral,209,17,6
Ammonium Sulfate,27,46,41,Acidic/Neutral,201,14,3
Ammonium Sulfate,25,49,41,Acidic/Neutral,207,19,6
Ammonium Sulfate,27,51,37,Acidic/Neutral,205,20,3
Ammonium Sulfate,18,46,36,Acidic/Neutral,209,15,10
Ammonium Sulfate,20,59,37,Acidic/Neutral,201,0,9
Ammonium Sulfate,24,52,39,Acidic/Neutral,210,0,5
Ammonium Sulfate,18,55,48,Acidic/Neutral,210,13,7
Ammonium Sulfate,27,47,49,Acidic/Neutral,203,15,10
Ammonium Sulfate,19,62,49,Acidic/Neutral,209,7,10
Ammonium Sulfate,30,58,44,Acidic/Neutral,203,15,9
Ammonium Sulfate,29,52,45,Acidic/Neutral,209,15,8
Ammonium Sulfate,28,58,39,Acidic/Neutral,202,5,2
Ammonium Sulfate,23,56,39,Acidic/Neutral,202,17,1
Ammonium Sulfate,29,57,35,Acidic/Neutral,209,12,7
Ammonium Sulfate,23,50,36,Acidic/Neutral,202,18,5
Ammonium Sulfate,28,48,49,Acidic/Neutral,203,2,0
Ammonium Sulfate,26,61,43,Acidic/Neutral,209,20,6
Ammonium Sulfate,23,53,41,Acidic/Neutral,200,8,9
Ammonium Sulfate,20,59,39,Acidic/Neutral,200,3,6
Ammonium Sulfate,30,62,44,Acidic/Neutral,203,8,3
Ammonium Sulfate,30,63,44,Acidic/Neutral,207,17,5
Ammonium Sulfate,23,48,38,Acidic/Neutral,209,18,2
Ammonium Sulfate,27,58,41,Acidic/Neutral,205,15,9
Ammonium Sulfate,28,48,35,Acidic/Neutral,207,19,3
Ammonium Sulfate,20,53,43,Acidic/Neutral,209,8,5
Ammonium Sulfate,23,48,44,Acidic/Neutral,209,14,10
Ammonium Sulfate,25,65,40,Acidic/Neutral,206,1,3
Ammonium Sulfate,19,55,40,Acidic/Neutral,202,11,0
Ammonium Sulfate,18,59,42,Acidic/Neutral,203,13,6
Ammonium Sulfate,22,52,35,Acidic/Neutral,200,10,1
Ammonium Sulfate,26,63,37,Acidic/Neutral,204,11,7
Ammonium Sulfate,23,60,37,Acidic/Neutral,204,10,1
Ammonium Sulfate,27,49,38,Acidic/Neutral,202,1,0
Ammonium Sulfate,30,64,50,Acidic/Neutral,205,12,6
Ammonium Sulfate,26,58,50,Acidic/Neutral,204,19,3
Ammonium Sulfate,20,45,46,Acidic/Neutral,201,12,5
Ammonium Sulfate,18,58,37,Acidic/Neutral,209,18,2
Ammonium Sulfate,19,49,49,Acidic/Neutral,203,18,0
Ammonium Sulfate,29,58,38,Acidic/Neutral,208,10,3
Ammonium Sulfate,28,53,42,Acidic/Neutral,209,3,2
Ammonium Sulfate,23,57,36,Acidic/Neutral,205,2,0
Ammonium Sulfate,25,58,43,Acidic/Neutral,210,18,2
Ammonium Sulfate,24,64,39,Acidic/Neutral,208,18,8
Ammonium Sulfate,25,55,46,Acidic/Neutral,200,13,9
Ammonium Sulfate,25,46,35,Acidic/Neutral,200,0,9
Ammonium Sulfate,19,60,50,Acidic/Neutral,208,15,10
Ammonium Sulfate,21,53,45,Acidic/Neutral,202,8,4
Ammonium Sulfate,23,45,40,Acidic/Neutral,207,20,2
Ammonium Sulfate,26,46,48,Acidic/Neutral,203,12,6
Ammonium Sulfate,23,61,44,Acidic/Neutral,207,11,8
Ammonium Sulfate,27,49,39,Acidic/Neutral,204,6,4
Ammonium Sulfate,23,57,44,Acidic/Neutral,207,19,9
Ammonium Sulfate,19,55,40,Acidic/Neutral,208,10,3
Ammonium Sulfate,23,52,48,Acidic/Neutral,201,11,7
Ammonium Sulfate,30,56,48,Acidic/Neutral,206,8,10
Ammonium Sulfate,24,45,45,Acidic/Neutral,208,5,3
Ammonium Sulfate,28,53,38,Acidic/Neutral,203,14,10
Ammonium Sulfate,22,53,37,Acidic/Neutral,207,4,7
Ammonium Sulfate,26,65,42,Acidic/Neutral,202,13,4
Ammonium Sulfate,26,59,41,Acidic/Neutral,210,10,10
Ammonium Sulfate,26,56,40,Acidic/Neutral,209,9,5
Ammonium Sulfate,20,58,35,Acidic/Neutral,204,6,4
Ammonium Sulfate,27,65,39,Acidic/Neutral,200,19,9
Ammonium Sulfate,26,53,39,Acidic/Neutral,202,3,4
Ammonium Sulfate,22,54,40,Acidic/Neutral,209,7,0
Ammonium Sulfate,28,64,39,Acidic/Neutral,209,19,2
Ammonium Sulfate,21,53,38,Acidic/Neutral,200,4,5
Ammonium Sulfate,27,63,44,Acidic/Neutral,205,16,1
Ammonium Sulfate,23,49,47,Acidic/Neutral,210,13,10
Ammonium Sulfate,22,50,35,Acidic/Neutral,201,13,7
Ammonium Sulfate,18,55,45,Acidic/Neutral,202,4,5
Ammonium Sulfate,26,64,44,Acidic/Neutral,205,10,6
Ammonium Sulfate,20,52,48,Acidic/Neutral,204,15,8
Ammonium Sulfate,19,54,49,Acidic/Neutral,209,12,10
Ammonium Sulfate,21,56,36,Acidic/Neutral,210,5,4
Ammonium Sulfate,21,62,35,Acidic/Neutral,200,7,5
Ammonium Sulfate,30,54,40,Acidic/Neutral,205,12,7
Ammonium Sulfate,25,54,43,Acidic/Neutral,200,17,2
Ammonium Sulfate,26,54,38,Acidic/Neutral,202,18,5
Ammonium Sulfate,18,57,50,Acidic/Neutral,210,14,9
Ammonium Sulfate,26,63,44,Acidic/Neutral,200,15,2
Ammonium Sulfate,24,57,36,Acidic/Neutral,200,1,1
Ammonium Sulfate,30,57,45,Acidic/Neutral,201,19,9
Ammonium Sulfate,28,49,37,Acidic/Neutral,208,10,1
Ammonium Sulfate,22,64,37,Acidic/Neutral,206,19,5
Ammonium Sulfate,22,55,49,Acidic/Neutral,205,18,7
Ammonium Sulfate,21,55,39,Acidic/Neutral,204,19,8
Ammonium Sulfate,18,65,42,Acidic/Neutral,204,2,9
Ammonium Sulfate,28,50,39,Acidic/Neutral,207,6,0
Ammonium Sulfate,18,62,47,Acidic/Neutral,200,13,3
Ammonium Sulfate,28,63,38,Acidic/Neutral,210,1,4
Ammonium Sulfate,26,57,45,Acidic/Neutral,200,0,5
Ammonium Sulfate,27,52,49,Acidic/Neutral,205,4,7
Ammonium Sulfate,26,61,41,Acidic/Neutral,205,14,9
Ammonium Sulfate,18,48,44,Acidic/Neutral,208,3,2
Ammonium Sulfate,18,56,48,Acidic/Neutral,206,9,8
Ammonium Sulfate,25,53,47,Acidic/Neutral,201,18,6
Ammonium Sulfate,29,63,39,Acidic/Neutral,206,16,0
Calcium-Ammonium Nitrate,24,60,49,All soil types,257,0,10
Calcium-Ammonium Nitrate,28,66,60,All soil types,268,5,4
Calcium-Ammonium Nitrate,23,68,57,All soil types,264,3,1
Calcium-Ammonium Nitrate,34,69,43,All soil types,265,3,3
Calcium-Ammonium Nitrate,34,60,57,All soil types,251,3,0
Calcium-Ammonium Nitrate,30,70,52,All soil types,268,3,0
Calcium-Ammonium Nitrate,30,50,41,All soil types,266,5,3
Calcium-Ammonium Nitrate,20,69,44,All soil types,260,0,8
Calcium-Ammonium Nitrate,27,69,40,All soil types,255,4,4
Calcium-Ammonium Nitrate,33,62,55,All soil types,268,2,2
Calcium-Ammonium Nitrate,23,68,51,All soil types,256,3,1
Calcium-Ammonium Nitrate,33,70,56,All soil types,266,0,7
Calcium-Ammonium Nitrate,28,52,41,All soil types,269,4,6
Calcium-Ammonium Nitrate,22,52,57,All soil types,254,2,10
Calcium-Ammonium Nitrate,21,53,54,All soil types,256,5,1
Calcium-Ammonium Nitrate,29,52,40,All soil types,259,5,7
Calcium-Ammonium Nitrate,21,51,53,All soil types,270,0,1
Calcium-Ammonium Nitrate,26,65,56,All soil types,255,5,9
Calcium-Ammonium Nitrate,28,61,57,All soil types,255,0,3
Calcium-Ammonium Nitrate,27,55,40,All soil types,254,0,1
Calcium-Ammonium Nitrate,31,60,46,All soil types,255,2,5
Calcium-Ammonium Nitrate,28,70,45,All soil types,252,0,9
Calcium-Ammonium Nitrate,32,68,50,All soil types,267,0,7
Calcium-Ammonium Nitrate,30,70,43,All soil types,261,0,7
Calcium-Ammonium Nitrate,22,60,48,All soil types,250,2,8
Calcium-Ammonium Nitrate,26,57,50,All soil types,264,0,1
Calcium-Ammonium Nitrate,23,61,60,All soil types,268,2,7
Calcium-Ammonium Nitrate,21,50,55,All soil types,260,0,7
Calcium-Ammonium Nitrate,29,62,47,All soil types,267,2,5
Calcium-Ammonium Nitrate,33,52,55,All soil types,261,5,4
Calcium-Ammonium Nitrate,31,51,60,All soil types,258,4,8
Calcium-Ammonium Nitrate,21,67,44,All soil types,252,3,2
Calcium-Ammonium Nitrate,34,55,49,All soil types,260,5,3
Calcium-Ammonium Nitrate,22,56,51,All soil types,260,3,10
Calcium-Ammonium Nitrate,32,70,57,All soil types,251,4,2
Calcium-Ammonium Nitrate,24,58,45,All soil types,263,0,9
Calcium-Ammonium Nitrate,24,58,43,All soil types,259,2,9
Calcium-Ammonium Nitrate,21,70,59,All soil types,257,2,0
Calcium-Ammonium Nitrate,22,70,55,All soil types,254,3,5
Calcium-Ammonium Nitrate,31,63,60,All soil types,251,1,5
Calcium-Ammonium Nitrate,28,64,41,All soil types,256,3,1
Calcium-Ammonium Nitrate,34,64,45,All soil types,263,4,5
Calcium-Ammonium Nitrate,23,55,51,All soil types,270,1,1
Calcium-Ammonium Nitrate,33,57,58,All soil types,250,3,6
Calcium-Ammonium Nitrate,32,59,50,All soil types,258,0,1
Calcium-Ammonium Nitrate,27,59,44,All soil types,261,5,10
Calcium-Ammonium Nitrate,20,54,56,All soil types,252,3,0
Calcium-Ammonium Nitrate,25,56,59,All soil types,250,4,9
Calcium-Ammonium Nitrate,21,61,57,All soil types,266,0,2
Calcium-Ammonium Nitrate,34,61,58,All soil types,268,4,1
Calcium-Ammonium Nitrate,21,66,59,All soil types,270,4,5
Calcium-Ammonium Nitrate,22,58,56,All soil types,269,2,10
Calcium-Ammonium Nitrate,21,50,47,All soil types,250,1,3
Calcium-Ammonium Nitrate,29,56,60,All soil types,251,5,9
Calcium-Ammonium Nitrate,29,51,59,All soil types,253,1,1
Calcium-Ammonium Nitrate,30,58,44,All soil types,254,4,0
Calcium-Ammonium Nitrate,25,56,48,All soil types,261,0,8
Calcium-Ammonium Nitrate,32,63,58,All soil types,254,1,5
Calcium-Ammonium Nitrate,29,60,53,All soil types,252,3,3
Calcium-Ammonium Nitrate,30,59,50,All soil types,269,3,7
Calcium-Ammonium Nitrate,23,68,57,All soil types,257,3,4
Calcium-Ammonium Nitrate,34,59,58,All soil types,257,1,0
Calcium-Ammonium Nitrate,25,64,54,All soil types,260,0,3
Calcium-Ammonium Nitrate,31,54,44,All soil types,266,0,2
Calcium-Ammonium Nitrate,21,64,40,All soil types,254,1,4
Calcium-Ammonium Nitrate,31,59,42,All soil types,270,0,3
Calcium-Ammonium Nitrate,26,67,55,All soil types,257,3,7
Calcium-Ammonium Nitrate,23,63,40,All soil types,256,1,4
Calcium-Ammonium Nitrate,33,64,58,All soil types,260,1,5
Calcium-Ammonium Nitrate,26,52,47,All soil types,261,1,6
Calcium-Ammonium Nitrate,20,59,48,All soil types,265,1,6
Calcium-Ammonium Nitrate,35,58,49,All soil types,255,5,4
Calcium-Ammonium Nitrate,35,69,41,All soil types,263,0,4
Calcium-Ammonium Nitrate,35,69,42,All soil types,258,0,1
Calcium-Ammonium Nitrate,30,63,60,All soil types,261,0,10
Calcium-Ammonium Nitrate,25,57,57,All soil types,258,2,8
Calcium-Ammonium Nitrate,22,69,51,All soil types,252,3,5
Calcium-Ammonium Nitrate,24,58,51,All soil types,252,1,7
Calcium-Ammonium Nitrate,26,57,53,All soil types,266,3,6
Calcium-Ammonium Nitrate,22,62,53,All soil types,251,1,4
Calcium-Ammonium Nitrate,25,65,42,All soil types,251,5,6
Calcium-Ammonium Nitrate,21,69,59,All soil types,259,2,1
Calcium-Ammonium Nitrate,22,52,57,All soil types,254,3,10
Calcium-Ammonium Nitrate,34,57,52,All soil types,261,3,5
Calcium-Ammonium Nitrate,23,69,53,All soil types,266,4,10
Calcium-Ammonium Nitrate,23,69,58,All soil types,260,1,6
Calcium-Ammonium Nitrate,31,50,40,All soil types,269,0,9
Calcium-Ammonium Nitrate,32,67,51,All soil types,261,0,7
Calcium-Ammonium Nitrate,24,54,54,All soil types,256,3,7
